LOT_NAME,WAFER_ID,item001MIN,item001MAX,item001Value,item001Median,item001Count,item001STD,item001IQR,item001+Spec,item001-Spec,item001+Limit,item001-Limit,履歴測定｜X｜装置ID,履歴測定｜X｜JOB,履歴MES｜X｜装置ID,履歴MES｜X｜レシピNo
LOT_001,,0.872,2.43,1.53,1.481,184,0.125,0.203,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_02,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_03,0.935,2.089,1.468,1.444,12,0.19,0.141,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_03,MES_EQ_001,REC_03
LOT_001,WAF_001_04,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_06,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_07,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_08,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_09,0.942,1.899,1.382,1.405,18,0.085,0.191,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_09,MES_EQ_001,REC_09
LOT_001,WAF_001_10,0.968,1.807,1.4,1.386,15,0.19,0.229,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_10,MES_EQ_001,REC_10
LOT_001,WAF_001_11,0.962,2.194,1.677,1.676,5,0.079,0.207,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_11,MES_EQ_001,REC_11
LOT_001,WAF_001_12,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_13,1.046,2.238,1.711,1.663,20,0.073,0.271,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_13,MES_EQ_001,REC_13
LOT_001,WAF_001_14,1.157,2.155,1.571,1.594,14,0.11,0.2,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_14,MES_EQ_001,REC_14
LOT_001,WAF_001_15,0.872,2.146,1.48,1.454,14,0.075,0.225,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_15,MES_EQ_001,REC_15
LOT_001,WAF_001_16,0.955,1.993,1.548,1.576,13,0.121,0.123,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_16,MES_EQ_001,REC_16
LOT_001,WAF_001_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_18,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_19,0.997,1.985,1.559,1.602,7,0.093,0.108,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_19,MES_EQ_001,REC_19
LOT_001,WAF_001_20,1.158,2.43,1.726,1.726,20,0.181,0.2,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_20,MES_EQ_001,REC_20
LOT_001,WAF_001_21,1.0,2.037,1.435,1.481,12,0.167,0.219,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_21,MES_EQ_001,REC_21
LOT_001,WAF_001_22,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_23,1.077,2.005,1.458,1.409,15,0.163,0.267,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_23,MES_EQ_001,REC_23
LOT_001,WAF_001_24,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_001,WAF_001_25,0.973,1.801,1.474,1.454,19,0.097,0.264,2.5,0.5,3.0,0.0,MEAS_EQ_001,JOB_25,MES_EQ_001,REC_25
LOT_002,,0.827,2.334,1.509,1.52,177,0.119,0.187,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_01,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_02,1.0,2.056,1.493,1.467,15,0.124,0.101,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_02,MES_EQ_002,REC_02
LOT_002,WAF_002_03,0.942,1.855,1.484,1.52,8,0.198,0.245,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_03,MES_EQ_002,REC_03
LOT_002,WAF_002_04,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_05,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_06,0.96,2.197,1.65,1.634,15,0.102,0.248,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_06,MES_EQ_002,REC_06
LOT_002,WAF_002_07,1.019,2.061,1.621,1.61,5,0.065,0.269,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_07,MES_EQ_002,REC_07
LOT_002,WAF_002_08,1.083,2.114,1.53,1.5,15,0.105,0.147,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_08,MES_EQ_002,REC_08
LOT_002,WAF_002_09,1.023,2.083,1.476,1.479,19,0.138,0.266,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_09,MES_EQ_002,REC_09
LOT_002,WAF_002_10,1.074,2.334,1.696,1.706,18,0.054,0.167,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_10,MES_EQ_002,REC_10
LOT_002,WAF_002_11,1.104,2.083,1.531,1.528,11,0.065,0.229,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_11,MES_EQ_002,REC_11
LOT_002,WAF_002_12,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_13,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_14,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_15,0.882,2.02,1.51,1.532,10,0.183,0.146,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_15,MES_EQ_002,REC_15
LOT_002,WAF_002_16,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_17,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_18,0.863,2.096,1.391,1.383,18,0.161,0.134,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_18,MES_EQ_002,REC_18
LOT_002,WAF_002_19,1.1,1.973,1.471,1.521,19,0.12,0.134,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_19,MES_EQ_002,REC_19
LOT_002,WAF_002_20,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_21,0.827,1.764,1.284,1.308,5,0.118,0.181,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_21,MES_EQ_002,REC_21
LOT_002,WAF_002_22,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_23,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_24,,,,,,,,2.5,0.5,3.0,0.0,,,,
LOT_002,WAF_002_25,1.061,1.878,1.486,1.436,19,0.117,0.167,2.5,0.5,3.0,0.0,MEAS_EQ_002,JOB_25,MES_EQ_002,REC_25
LOT_003,,0.817,2.31,1.492,1.537,183,0.124,0.224,2.5,0.5,3.0,0.0,,,,
LOT_003,WAF_003_01,0.98,2.02,1.595,1.602,7,0.082,0.144,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_01,MES_EQ_003,REC_01
LOT_003,WAF_003_02,1.104,2.157,1.662,1.682,15,0.099,0.273,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_02,MES_EQ_003,REC_02
LOT_003,WAF_003_03,0.98,1.868,1.497,1.537,8,0.096,0.238,2.5,0.5,3.0,0.0,MEAS_EQ_003,JOB_03,MES_EQ_003,REC_03
LOT_003,WAF_003_04,,,,,,,,2.5,0.5,3.0,0.0,,,,
